PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
22,1/15/2026,,2,3,Sample Pitcher,,Right,TEAM_A,Sample Batter 4,,Right,TEAM_B,Undefined,1,Bottom,0,0,2,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.04,-2.39042,-3.25257,2455,193.9,12:45,5.74,1.8,5.895,-19.796,14.21,9.61,2.736,-0.118,77.586,-2.53,-3.388,0.38729,,27.96598,53.31944,4596.936,56.4857,52.0689,94.38935,325.0353,164.254,70.33786,4.398625,-4.13138,8.89378,-1.75876,50,5.81549,7.69494,-139.893,-6.22931,-8.34361,25.90279,-14.2124,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,97.32359,66.50802,,6.6917,,,,0.09459,2.52766,0.72523,,1/15/2026,,,,FlyBall,v3,,,,Sample Catcher 3,,Right,TEAM_B,,53.93968,-140.621,12.95139,5.98486,-5.8301,-7.10622,-1.9782,7.92931,-4.1718,,0.09351,73.97764,-24.8301,6.53313,-1.45468,0.27373,-0.04496,0.00513,-0.00026,2.52899,65.70718,-18.57,0.85694,0.08211,-0.07841,0.02375,-0.00313,0.00015,0.72472,99.30871,-11.0171,1.58594,-0.35063,0.13387,-0.04008,0.00635,-0.00039,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
23,1/15/2026,,2,4,Sample Pitcher,,Right,TEAM_A,Sample Batter 5,,Right,TEAM_B,Undefined,1,Bottom,0,0,2,Slider,Slider,StrikeCalled,Walk,Undefined,Undefined,0,0,,82.19,1.009719,-1.32849,2665,87.7,8:15,5.57,1.68,5.711,-49.358,-4.1,-16.12,2.266,-0.632,77.527,-5.797,-3.299,0.468746,95.3,8.512199,-3.9028,815.0873,109.9449,8.6906,-3.46153,174.2252,174.2252,-0.59625,1.37309,7.59378,-2.43165,-2.11307,50,5.54763,3.33102,-118.105,0.50458,10.70455,22.91106,-35.6018,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,80.41123,9.30803,,6.50639,,,,1.21112,2.5472,0.28212,,1/15/2026,,,,LineDrive,v3,,,,Sample Catcher 3,,Right,TEAM_B,,54.69028,-119.011,11.45553,5.49981,1.91302,-17.8009,-2.23647,2.90754,5.35228,277.6944,1.21112,152.2917,-24.8079,5.48658,-1.33223,0.32972,-0.07892,0.01493,-0.00152,2.5472,22.84628,-20.6593,2.59498,-0.64196,0.16295,-0.03813,0.00728,-0.00075,0.28212,-10.3897,8.40617,-1.89802,0.46622,-0.11594,0.02771,-0.00524,0.00053,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
24,1/15/2026,,3,1,Sample Pitcher,,Right,TEAM_A,Sample Batter 6,,Right,TEAM_B,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,90.91,-2.46636,-2.39118,2254,200.2,12:45,5.88,2.04,5.571,-30.92,15.34,10.51,2.013,-0.111,85.205,-2.821,-1.991,0.384053,,,,,,,,,,,,-4.15658,8.65839,-1.7795,50,5.79292,5.63067,-141.149,-6.45036,-8.44148,30.12039,-14.59,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,98.14377,,,7.70296,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,SAN_GAU,96e78b00-bc55-41e0-adf8-cec381e0d3af,,-141.939,15.06019,5.95709,-6.06767,-7.29501,-1.9301,5.85209,-4.22074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
25,1/15/2026,,3,2,Sample Pitcher,,Right,TEAM_A,Sample Batter 7,,Right,TEAM_B,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.23,-3.09498,-2.13926,2284,206.8,12:30,5.83,2.25,5.805,-25.13,13.83,8.23,1.903,1.351,86.651,-7.299,0.416,0.388958,,,,,,,,,,,,-2.69138,10.09406,-1.70464,50,5.84612,5.06668,-140.016,-7.89491,-5.38982,29.00906,-11.9595,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,96.90621,,,7.46315,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,SAN_GAU,9072f197-5cbc-49bd-b034-c1a7e27786aa,,-140.845,14.50453,6.06686,-7.55313,-5.97973,-1.85164,5.22071,-2.69491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
26,1/15/2026,,3,3,Sample Pitcher,,Right,TEAM_A,Sample Batter 8,,Right,TEAM_B,Undefined,1,Bottom,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.16,-2.22114,-3.21787,2045,199.1,12:45,5.69,1.68,6.345,-27.838,16.63,11.01,2.386,-1.546,84.599,-4.567,-2.072,0.388877,,4.422464,166.3594,2832.53,,,,42.04314,42.04314,166.9174,0.544918,-3.73386,9.14406,-1.90799,50,5.91878,7.63365,-139.923,-5.7986,-7.48644,28.21619,-13.8401,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,96.92643,3.1326,,7.37403,,,,,,,,1/15/2026,,,,GroundBall,v3,,,,Sample Catcher 3,,Right,TEAM_B,,54.01272,-140.73,14.10809,6.07894,-5.40283,-6.92007,-2.12934,7.84773,-3.74322,338.8233,-2.63849,-72.5323,4.97189,-1.85397,0.4303,-0.08192,0.01563,-0.00211,0,2.72423,5.77248,-20.5615,1.58559,-0.24854,0.02077,-0.00146,0.00026,-2.00E-05,0.6514,17.60178,-2.85512,0.8435,-0.18848,0.03919,-0.00899,0.00233,-0.00062,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
27,1/15/2026,,3,4,Sample Pitcher,,Right,TEAM_A,Sample Batter 9,,Right,TEAM_B,Undefined,1,Bottom,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.23,-1.9213,-2.12896,2176,196.2,12:15,5.58,2.18,6.613,-15.043,15.81,3.61,1.732,-0.927,70.689,-4.999,-3.511,0.382426,,40.8934,51.80048,5244.402,55.72269,82.47447,94.84187,292.8297,133.9403,70.38411,5.110902,-1.90563,9.34217,-1.67351,50,5.98233,5.15657,-141.402,-5.03956,-3.89505,29.36669,-13.0791,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,98.56137,96.83022,,7.50909,,,,0.57366,3.46104,0.0218,,1/15/2026,,,,FlyBall,v3,,,,Sample Catcher 3,,Right,TEAM_B,,53.6386,-142.155,14.68334,6.10736,-4.7039,-6.53956,-1.80713,5.25653,-1.94752,,0.57858,61.31623,-22.0819,6.44589,-1.74747,0.50562,-0.12912,0.01955,-0.00118,3.4735,85.67919,-22.0307,-0.0141,1.41522,-0.73269,0.1867,-0.0235,0.00116,0.03447,77.73483,-7.06738,-0.77435,1.30892,-0.57876,0.13098,-0.01484,0.00066,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
28,1/15/2026,,3,5,Sample Pitcher,,Right,TEAM_A,Sample Batter 1,,Right,TEAM_B,Undefined,1,Bottom,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,1,,82.7,0.109467,-1.18118,3144,65.9,8:30,5.96,1.72,6.426,-21.553,-0.74,-15.15,3.044,-0.177,85.185,-6.92,-1.727,0.460016,91.5,7.036371,-34.3038,3140.291,,,,87.08476,86.72738,-35.1596,0.657587,8.19906,-1.71417,-1.96299,50,5.74963,3.11671,-120.322,-1.29291,12.04836,22.82559,-34.693,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,81.93724,4.46481,,6.21672,,,,2.60004,2.15982,0.54622,,1/15/2026,,,,GroundBall,v3,,,,Sample Catcher 3,,Right,TEAM_B,,54.77223,-121.224,11.4128,5.77363,0.07794,-17.3465,-2.07674,2.64063,6.02418,,2.60004,118.6908,-25.5654,6.65288,-1.84868,0.54275,-0.16349,0.04425,-0.00755,2.15982,17.73463,-35.7865,6.89754,-1.96687,0.57605,-0.1715,0.04553,-0.00747,0.54622,-80.9769,6.87458,-1.73188,0.47589,-0.14052,0.04401,-0.0132,0.00262,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
29,1/15/2026,,4,1,Sample Pitcher,,Right,TEAM_A,Sample Batter 2,,Left,TEAM_B,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.05,-2.69875,-2.65925,2231,191.3,1:15,5.83,1.7,5.887,-16.83,15.52,7.33,3.209,0.34,74.935,-5.229,0.299,0.38671,,,,,,,,,,,,-5.5404,8.42599,-2.05983,50,5.56852,6.13773,-140.045,-7.01141,-11.1455,27.79191,-15.2237,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,97.46956,,,7.14368,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,SAN_GAU,29987daa-c5ca-49e8-9358-53e27cadba79,,-140.795,13.89596,5.75216,-6.60065,-7.61183,-2.22949,6.43846,-5.57274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
30,1/15/2026,,4,2,Sample Pitcher,,Right,TEAM_A,Sample Batter 3,,Left,TEAM_B,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.69,-3.11011,-2.45196,2299,205.5,1:00,5.85,1.78,6.986,-36.626,16,6.2,3.601,1.507,83.211,-3.556,-3.411,0.388259,91.1,-26.4732,16.56143,,,,,6.91836,5.61567,6.261414,0.071217,-4.76744,9.2526,-2.01886,50,5.67715,5.67336,-139.782,-7.97087,-9.55252,27.75139,-13.6345,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,97.08066,3.09611,,7.12637,,,,0.91787,3.09611,-1.0176,,1/15/2026,,,,GroundBall,v3,,,,Sample Catcher 3,,Right,TEAM_B,,53.90231,-140.555,13.8757,5.89378,-7.59128,-6.81726,-2.18051,5.93931,-4.77626,,0.9131,83.6773,,,,,,,,3.09859,-43.4746,,,,,,,,-1.01902,24.88395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
31,1/15/2026,,5,1,Sample Pitcher,,Right,TEAM_A,Sample Batter 4,,Right,TEAM_B,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.58,-1.60276,-2.50727,2094,216.9,12:45,5.54,1.97,6.88,-13.482,16.53,9.2,1.723,0.327,72.396,-6.039,-3.291,0.384855,,6.877683,174.114,2047.542,,,,112.5642,59.77982,176.9695,1.020627,-3.65933,9.73977,-2.02519,50,5.75163,5.94067,-140.762,-4.2159,-7.40719,29.2968,-12.459,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,97.93932,6.36686,,7.59808,,,,1.57372,3.44235,-0.37842,,1/15/2026,,,,GroundBall,v3,,,,Sample Catcher 3,,Right,TEAM_B,,53.7234,-141.535,14.6484,5.8585,-3.88724,-6.22948,-2.18448,6.13607,-3.7036,285.6462,1.57372,-121.56,10.84763,-1.37383,0.26088,-0.03703,0.00654,-0.00125,0.00014,3.44235,14.7401,-19.1497,1.62803,-0.30579,0.06583,-0.01115,0.00193,-0.00024,-0.37842,12.53195,-7.35375,1.39975,-0.31903,0.06186,-0.01209,0.00223,-0.00024,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
32,1/15/2026,,5,2,Sample Pitcher,,Right,TEAM_A,Sample Batter 5,,Right,TEAM_B,Undefined,1,Bottom,0,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.89,-1.46245,-2.33614,2592,70.6,10:45,5.66,1.93,6.287,-2.814,-2.17,-12.29,0.703,1.059,84.587,-8.249,-0.6,0.435751,,,,,,,,,,,,2.89134,5.85689,-1.99156,50,5.63444,5.41351,-126.189,-4.08902,4.70923,23.24642,-22.6348,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,86.50003,,,6.36455,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,SAN_GAU,e2fcb439-67ca-4e4f-a691-9dc1d38ed1ca,,-127.027,11.62321,5.76724,-3.27239,-11.3174,-2.1838,5.24361,2.35461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
33,1/15/2026,,5,3,Sample Pitcher,,Right,TEAM_A,Sample Batter 6,,Right,TEAM_B,Undefined,1,Bottom,0,0,2,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.22,-1.88177,-3.88412,2275,208,12:45,5.85,2.11,5.961,-40.737,15.26,3.61,3.105,-1.104,76.419,-5.544,-2.029,0.382842,,30.05883,43.63814,4335.168,69.96564,55.63365,84.88071,316.2231,182.1302,61.7317,4.92881,-4.55268,9.46902,-1.52976,50,6.00086,9.36632,-141.946,-4.96164,-9.31837,31.51618,-12.7929,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,98.45428,67.15552,,8.19686,,,,0.25883,3.475,1.46948,,1/15/2026,,,,FlyBall,v3,,,,Sample Catcher 3,,Right,TEAM_B,,53.77467,-142.781,15.75809,6.12791,-4.62245,-6.39646,-1.78138,9.61339,-4.65918,,0.26474,76.67677,-21.0945,4.50329,-0.49596,-0.08139,0.03205,-0.0027,2.00E-05,3.4748,61.41792,-16.4556,0.67156,0.14214,-0.09627,0.03482,-0.00584,0.00035,1.47371,73.139,-4.0965,-1.10698,1.02275,-0.44091,0.1093,-0.01393,0.0007,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
34,1/15/2026,,5,4,Sample Pitcher,,Right,TEAM_A,Sample Batter 7,,Right,TEAM_B,Undefined,1,Bottom,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.07,-0.44144,-2.0721,2540,57.4,9:15,5.79,2.21,6.754,-39.534,-2.27,-8.36,2.807,0.848,73.316,-6.973,-0.437,0.43793,,42.10651,81.39125,4556.703,-1.20408,67.69256,109.9931,241.8266,81.87035,100.3554,4.403752,7.51985,2.34331,-1.88024,50,5.80142,5.23859,-126.573,-2.14959,12.19713,25.87473,-28.3732,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,86.06961,69.45614,,6.98717,,,,0.6861,2.58717,1.25149,,1/15/2026,,,,FlyBall,v3,,,,Sample Catcher 3,,Right,TEAM_B,,54.79856,-127.55,12.93737,5.86237,-1.07806,-14.1866,-2.06938,4.77796,6.09857,,0.68705,11.24002,-10.1921,2.36256,-0.41269,0.04488,-0.00604,0.00143,-0.00013,2.58737,67.97165,-19.432,1.30464,-0.04202,-0.09662,0.04238,-0.00727,0.00045,1.25284,74.34101,-8.64419,1.41676,-0.06501,-0.05664,0.01607,-0.00144,2.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
35,1/15/2026,,5,5,Sample Pitcher,,Right,TEAM_A,Sample Batter 8,,Right,TEAM_B,Undefined,1,Bottom,0,0,2,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,94.59,-3.47851,-4.18247,2311,213.3,12:30,5.7,1.98,6.516,-7.091,15.41,8.17,3.048,-0.848,86.331,-6.069,-1.648,0.385986,,,,,,,,,,,,-3.55477,9.38048,-1.88129,50,5.53117,10.11244,-140.772,-8.93045,-7.16351,30.68727,-13.2707,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,97.65231,,,7.86216,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,SAN_GAU,31eec25e-8b74-4be0-b688-5317c8b4cfd3,,-141.597,15.34364,5.7663,-8.57393,-6.63536,-2.15554,10.30488,-3.58176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
36,1/15/2026,,6,1,Sample Pitcher,,Right,TEAM_A,Sample Batter 9,,Left,TEAM_B,Undefined,1,Bottom,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.27,-1.87523,-4.278,2414,212.5,1:00,5.56,1.79,5.436,-29.374,19.64,9.83,2.137,-0.844,83.253,-5.647,-0.338,0.391478,,,,,,,,,,,,-5.42689,9.22103,-2.04822,50,5.51517,10.10832,-139.653,-4.95891,-10.7527,30.47998,-13.9037,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,96.28236,,,8.0785,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,SAN_GAU,11aaf6c1-8d73-41c3-ba66-56e9686efcf7,,-140.547,15.23999,5.65466,-4.55103,-6.95186,-2.34938,10.42376,-5.37635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
37,1/15/2026,,6,2,Sample Pitcher,,Right,TEAM_A,Sample Batter 1,,Left,TEAM_B,Undefined,1,Bottom,1,0,1,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,85.66,0.804722,-0.61201,1727,236.6,3:45,5.57,1.73,6.347,-6.098,4.97,14.08,3.309,0.225,77.675,-8.271,-3.519,0.428957,,,,,,,,,,,,-1.31697,0.20614,-2.04724,50,5.7894,1.27531,-127.56,0.64561,-2.16463,26.83559,-31.8352,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,87.87002,,,7.52392,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,SAN_GAU,bbac49e9-8709-420b-afb4-30f419a9fe4d,,-128.405,13.4178,5.7533,1.64781,-15.9176,-2.08846,1.34345,-1.08231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
38,1/15/2026,,6,3,Sample Pitcher,,Right,TEAM_A,Sample Batter 2,,Left,TEAM_B,Undefined,1,Bottom,1,1,1,ChangeUp,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.67,0.999736,-0.71578,1375,248.7,5:00,5.99,1.48,6.565,-33.039,7.14,15.03,2.914,-0.426,91.138,-8.126,-1.645,0.426936,,,,,,,,,,,,-1.12555,-0.84756,-1.98703,50,5.77965,1.52907,-127.981,1.03046,-1.86621,26.48336,-33.5794,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,88.28588,,,7.36353,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,SAN_GAU,a3608b6a-f424-44a6-b050-266af776e770,,-128.805,13.24168,5.73132,2.07551,-16.7897,-2.03552,1.58715,-0.9331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
39,1/15/2026,,6,4,Sample Pitcher,,Right,TEAM_A,Sample Batter 3,,Left,TEAM_B,Undefined,1,Bottom,1,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.6,-2.29639,-3.14713,2457,208.7,12:45,5.92,1.99,5.798,-5.351,17.69,6.57,2.664,0.168,78.805,-4.737,-2.009,0.38298,,28.71061,-138.967,3433.091,-87.6962,32.02574,-66.4028,202.1119,58.01837,-145.673,2.550171,-3.72575,8.61197,-1.99786,50,5.53302,7.55756,-141.294,-6.03845,-7.60717,29.18089,-14.5903,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,98.41879,32.09841,,7.43724,,,,0.3049,2.35243,0.2793,,1/15/2026,,,,FlyBall,v3,,,,Sample Catcher 3,,Right,TEAM_B,,53.68806,-142.054,14.59045,5.68526,-5.65863,-7.29517,-2.19718,7.75559,-3.80358,43.91036,0.30504,-71.8325,1.11977,0.54707,0.24502,-0.32466,0.16246,-0.03763,0.00334,2.35246,52.14932,-25.4166,2.65776,-0.4405,0.04134,-0.00485,0.0036,-0.00064,0.27939,-62.5132,9.21796,-1.51736,0.50047,-0.27924,0.14011,-0.0367,0.00365,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
40,1/15/2026,,6,5,Sample Pitcher,,Right,TEAM_A,Sample Batter 4,,Left,TEAM_B,Undefined,1,Bottom,1,2,2,ChangeUp,Splitter,BallCalled,Strikeout,Undefined,Undefined,0,0,,84.3,0.395918,-1.25179,1546,243.2,2:15,5.9,1.66,6.517,-24.663,6.69,14.96,3.537,-0.09,81.887,-6.36,-3.85,0.420858,,,,,,,,,,,,-3.85091,2.24764,-1.7426,50,5.80004,2.56467,-129.248,-0.04112,-6.54294,25.81712,-28.3552,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,89.56092,,,7.15179,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,SAN_GAU,de828f06-4ba5-478b-a9b4-207ac58a03cc,,-130.014,12.90856,5.78877,0.80073,-14.1776,-1.82163,2.75893,-3.27147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
41,1/15/2026,,6,6,Sample Pitcher,,Right,TEAM_A,Sample Batter 5,,Left,TEAM_B,Undefined,1,Bottom,1,3,2,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.61,-2.97387,-2.478,2135,207,1:00,6,1.95,5.432,-22.814,17.69,8.03,2.888,0.606,83.431,-9.659,-4.487,0.379613,,,,,,,,,,,,-4.91713,8.58319,-1.99411,50,5.421,5.84304,-142.251,-7.75456,-10.2059,28.67665,-14.3591,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,99.29187,,,7.21533,,,,,,,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,SAN_GAU,31a8dd6c-7f98-459c-9849-7b0b8a48f6f6,,-142.982,14.33832,5.61389,-7.38876,-7.17953,-2.14627,6.10303,-5.10293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,
42,1/15/2026,,7,1,Sample Pitcher,,Right,TEAM_A,Sample Batter 6,,Right,TEAM_B,Undefined,1,Bottom,2,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,95.29,-1.8184,-2.21715,2221,185,12:30,5.82,2.04,7.274,-3.751,19.21,6.86,1.624,-1.154,77.638,-4.247,-0.367,0.388999,,-51.3367,-71.8738,,,,,4.44195,4.44195,-39.3379,0.045649,-2.84831,9.02012,-1.82593,50,5.82976,5.22836,-139.415,-4.79409,-5.67871,27.52667,-14.1904,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,96.89593,3.26128,,7.11951,,,,2.6237,3.26128,-0.33586,,1/15/2026,,,,GroundBall,v3,,,,Sample Catcher 3,,Right,TEAM_B,,53.86997,-140.177,13.76334,5.95704,-4.40126,-7.0952,-1.97284,5.38556,-2.83935,,2.6229,17.78352,,,,,,,,3.26448,-71.4428,,,,,,,,-0.33343,-54.3248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
43,1/15/2026,,7,2,Sample Pitcher,,Right,TEAM_A,Sample Batter 7,,Right,TEAM_B,Undefined,1,Bottom,2,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.58,-2.53895,-2.51867,2139,209.4,12:30,5.59,1.38,7.216,-31.86,17.05,8.69,2.17,0.039,84.749,-5.075,-2.266,0.386535,,32.9559,71.71195,4803.244,,,,,102.143,,,-3.05347,10.14477,-1.67516,50,5.82655,5.99268,-140.305,-6.49727,-6.13126,29.5681,-11.8037,TEAM_A,TEAM_B,Sample Field,College,SAMPLE,,,97.5137,60.23769,,7.6498,,,,0.12669,2.73071,0.16515,,1/15/2026,,,,v3,471256,,,,Sample Catcher 1,,SAN_GAU,d95f662b-cf30-4aab-a47e-516427d7b437,,-141.093,14.78405,5.99556,-6.1826,-5.90187,-1.8371,6.15614,-3.06563,,0.12669,34.47581,-16.6534,3.87661,-0.94123,0.20225,-0.03885,0.00711,-0.0005,2.73071,71.2286,-18.1279,1.37086,-0.19777,0.0208,-0.00049,-0.00081,0.00015,0.16515,104.3182,-12.4764,0.87858,-0.06245,-0.04129,0.01185,-0.00334,0.00039,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,
